workflow,workflow_label,total_scenarios,accuracy,f1_score,bleu,perplexity_heuristic,task_success_rate,tool_success_rate,average_response_time_ms,average_response_time_seconds,hallucination_rate
triage_monitoring,Triage dan Monitoring Pasien,30,0.8133,1,1,6,1,1,1205.2,1.205,0
soap_clinical_notes,SOAP dan Clinical Notes,30,0.9942,1,1,6,1,1,67815.17,67.815,0
icd10_clinical_recommendation,ICD-10 dan Rekomendasi Klinis,30,0.79,1,1,6,0.9333,,84546.47,84.546,0
nurse_assistant_operational,Nurse Assistant Operasional,30,1,1,1,6,1,1,1100,1.1,0
general_nurse_questions,Pertanyaan Umum Perawat,30,0.9145,1,1,6,1,,900,0.9,0
overall,Rata-rata,150,0.9024,1,1,6,0.9867,1,31113.37,31.113,0
